stop_id,stop_code,stop_name,stop_url,wheelchair,route_id,loc_type,service_id
"54746","54746",Renaude-Lapointe / No 11300,http://m.stm.info/fr/horaires/arrets/54746/bus,"1","432","0",20M
"54749","54749",des Grandes-Prairies / No 4840,http://m.stm.info/fr/horaires/arrets/54749/bus,"1","39,136,188","0",20M
"54750","54750",Métropolitain / Lacordaire,http://m.stm.info/fr/horaires/arrets/54750/bus,"1","460","0",20M
"54751","54751",Métropolitain / Viau,http://m.stm.info/fr/horaires/arrets/54751/bus,"1","460","0",20M
"54752","54752",Lionel-Groulx / des Grandes-Prairies,http://m.stm.info/fr/horaires/arrets/54752/bus,"1","136,188","0",20M
"54753","54753",Lionel-Groulx / Louis-Roy,http://m.stm.info/fr/horaires/arrets/54753/bus,"2","188","0",20M
"54754","54754",des Grandes-Prairies / Viau,http://m.stm.info/fr/horaires/arrets/54754/bus,"1","39,136,188","0",20M
"54755","54755",des Grandes-Prairies / Viau,http://m.stm.info/fr/horaires/arrets/54755/bus,"1","39,188","0",20M
"54756","54756",Lionel-Groulx / Couture,http://m.stm.info/fr/horaires/arrets/54756/bus,"2","188","0",20M
"54757","54757",Couture / Lionel-Groulx,http://m.stm.info/fr/horaires/arrets/54757/bus,"1","136","0",20M
"54758","54758",Lionel-Groulx / Couture,http://m.stm.info/fr/horaires/arrets/54758/bus,"1","188","0",20M
"54759","54759",Couture / Pierre-Elliott-Trudeau,http://m.stm.info/fr/horaires/arrets/54759/bus,"1","136","0",20M
"54760","54760",des Grandes-Prairies / Saguenay,http://m.stm.info/fr/horaires/arrets/54760/bus,"1","39,136","0",20M
"54761","54761",Lionel-Groulx / Gaspésie,http://m.stm.info/fr/horaires/arrets/54761/bus,"2","188","0",20M
"54762","54762",Lionel-Groulx / Gaspésie,http://m.stm.info/fr/horaires/arrets/54762/bus,"1","188","0",20M
"54763","54763",des Grandes-Prairies / Salvaye,http://m.stm.info/fr/horaires/arrets/54763/bus,"1","39,136","0",20M
"54764","54764",des Grandes-Prairies / Puyseaux,http://m.stm.info/fr/horaires/arrets/54764/bus,"1","39,136","0",20M
"54765","54765",Couture / Long-Sault,http://m.stm.info/fr/horaires/arrets/54765/bus,"1","136,188","0",20M
"54766","54766",Couture / Long-Sault,http://m.stm.info/fr/horaires/arrets/54766/bus,"2","188","0",20M
"54767","54767",Couture / Viau,http://m.stm.info/fr/horaires/arrets/54767/bus,"1","136","0",20M
"54768","54768",Couture / François-1er,http://m.stm.info/fr/horaires/arrets/54768/bus,"1","136,188","0",20M
"54769","54769",Lionel-Groulx / Goya,http://m.stm.info/fr/horaires/arrets/54769/bus,"1","188","0",20M
"54770","54770",Lionel-Groulx / Maritain,http://m.stm.info/fr/horaires/arrets/54770/bus,"2","188","0",20M
"54771","54771",Lacordaire / des Grandes-Prairies,http://m.stm.info/fr/horaires/arrets/54771/bus,"1","32,353,432","0",20M
"54772","54772",des Grandes-Prairies / Lacordaire,http://m.stm.info/fr/horaires/arrets/54772/bus,"1","33,39","0",20M
"54773","54773",Lacordaire / des Grandes-Prairies,http://m.stm.info/fr/horaires/arrets/54773/bus,"1","32,353,432","0",20M
"54774","54774",des Grandes-Prairies / Lacordaire,http://m.stm.info/fr/horaires/arrets/54774/bus,"1","39,136","0",20M
"54775","54775",des Grandes-Prairies / No5850,http://m.stm.info/fr/horaires/arrets/54775/bus,"1","33,39,136","0",20M
"54776","54776",des Grandes-Prairies / No 5940,http://m.stm.info/fr/horaires/arrets/54776/bus,"1","136","0",20M
"54777","54777",Couture / Grasset,http://m.stm.info/fr/horaires/arrets/54777/bus,"2","188","0",20M
"54778","54778",Lavoisier / Primot,http://m.stm.info/fr/horaires/arrets/54778/bus,"1","188","0",20M
"54779","54779",Lavoisier / Primot,http://m.stm.info/fr/horaires/arrets/54779/bus,"2","188","0",20M
"54780","54780",Lavoisier / Lionel-Groulx,http://m.stm.info/fr/horaires/arrets/54780/bus,"1","188","0",20M
"54781","54781",Lavoisier / Lionel-Groulx,http://m.stm.info/fr/horaires/arrets/54781/bus,"2","188","0",20M
"54782","54782",Couture / Salvaye,http://m.stm.info/fr/horaires/arrets/54782/bus,"1","136,188","0",20M
"54783","54783",Couture / Salvaye,http://m.stm.info/fr/horaires/arrets/54783/bus,"2","188","0",20M
"54784","54784",Lavoisier / de Provence,http://m.stm.info/fr/horaires/arrets/54784/bus,"1","188","0",20M
"54785","54785",Viau / Lavoisier,http://m.stm.info/fr/horaires/arrets/54785/bus,"1","136","0",20M
"54786","54786",Viau / Lavoisier,http://m.stm.info/fr/horaires/arrets/54786/bus,"2","188","0",20M
"54787","54787",Viau / Lavoisier,http://m.stm.info/fr/horaires/arrets/54787/bus,"1","136","0",20M
"54788","54788",Lavoisier / Viau,http://m.stm.info/fr/horaires/arrets/54788/bus,"1","188","0",20M
"54789","54789",Viau / Lavoisier,http://m.stm.info/fr/horaires/arrets/54789/bus,"1","188","0",20M
"54790","54790",Couture / Puyseaux,http://m.stm.info/fr/horaires/arrets/54790/bus,"1","136,188","0",20M
"54791","54791",Couture / Puyseaux,http://m.stm.info/fr/horaires/arrets/54791/bus,"2","188","0",20M
"54792","54792",des Grandes-Prairies / du Prado,http://m.stm.info/fr/horaires/arrets/54792/bus,"1","33,39","0",20M
"54793","54793",des Grandes-Prairies / du Prado,http://m.stm.info/fr/horaires/arrets/54793/bus,"1","33,39,136","0",20M
"54794","54794",Lacordaire / Couture,http://m.stm.info/fr/horaires/arrets/54794/bus,"1","32,353,432","0",20M
"54795","54795",Couture / Lacordaire,http://m.stm.info/fr/horaires/arrets/54795/bus,"1","136,188","0",20M
"54796","54796",Lacordaire / Couture,http://m.stm.info/fr/horaires/arrets/54796/bus,"1","32,353,432","0",20M
"54797","54797",Couture / Lacordaire,http://m.stm.info/fr/horaires/arrets/54797/bus,"2","188","0",20M
"54798","54798",Lavoisier / Daillon,http://m.stm.info/fr/horaires/arrets/54798/bus,"1","188","0",20M
"54800","54800",Robert / Cluny,http://m.stm.info/fr/horaires/arrets/54800/bus,"1","192","0",20M
"54801","54801",Couture / Périnault,http://m.stm.info/fr/horaires/arrets/54801/bus,"2","136,188","0",20M
"54802","54802",Couture / Périnault,http://m.stm.info/fr/horaires/arrets/54802/bus,"2","188","0",20M
"54803","54803",Robert / Narbonne,http://m.stm.info/fr/horaires/arrets/54803/bus,"1","192","0",20M
"54804","54804",Robert / Narbonne,http://m.stm.info/fr/horaires/arrets/54804/bus,"1","192","0",20M
"54805","54805",Robert / D'Artagnan,http://m.stm.info/fr/horaires/arrets/54805/bus,"1","192","0",20M
"54806","54806",Robert / D'Artagnan,http://m.stm.info/fr/horaires/arrets/54806/bus,"1","192","0",20M
"54807","54807",Viau / Valéry,http://m.stm.info/fr/horaires/arrets/54807/bus,"1","136,188","0",20M
"54808","54808",Viau / Valéry,http://m.stm.info/fr/horaires/arrets/54808/bus,"1","136,188","0",20M
"54809","54809",Couture / du Prado,http://m.stm.info/fr/horaires/arrets/54809/bus,"1","188","0",20M
"54810","54810",du Prado / Couture,http://m.stm.info/fr/horaires/arrets/54810/bus,"1","136","0",20M
"54811","54811",Couture / du Prado,http://m.stm.info/fr/horaires/arrets/54811/bus,"1","188","0",20M
"54812","54812",Provencher / Compiègne,http://m.stm.info/fr/horaires/arrets/54812/bus,"1","192","0",20M
"54813","54813",Provencher / Compiègne,http://m.stm.info/fr/horaires/arrets/54813/bus,"1","192","0",20M
"54814","54814",Lacordaire / Honoré-Mercier,http://m.stm.info/fr/horaires/arrets/54814/bus,"1","32,353,432","0",20M
"54815","54815",Lacordaire / Honoré-Mercier,http://m.stm.info/fr/horaires/arrets/54815/bus,"1","32,353,432","0",20M
"54816","54816",Langelier / des Grandes-Prairies,http://m.stm.info/fr/horaires/arrets/54816/bus,"1","33,39","0",20M
"54817","54817",Viau / Robert,http://m.stm.info/fr/horaires/arrets/54817/bus,"1","136,188","0",20M
"54818","54818",Robert / Viau,http://m.stm.info/fr/horaires/arrets/54818/bus,"1","192","0",20M
"54819","54819",Viau / Robert,http://m.stm.info/fr/horaires/arrets/54819/bus,"1","136,188","0",20M
"54820","54820",Robert / Viau,http://m.stm.info/fr/horaires/arrets/54820/bus,"1","192","0",20M
"54821","54821",Lavoisier / Dujarié,http://m.stm.info/fr/horaires/arrets/54821/bus,"1","188","0",20M
"54822","54822",Provencher / Jean-Rivard,http://m.stm.info/fr/horaires/arrets/54822/bus,"1","192","0",20M
"54823","54823",Provencher / Jean-Rivard,http://m.stm.info/fr/horaires/arrets/54823/bus,"1","192","0",20M
"54824","54824",Couture / Le Royer,http://m.stm.info/fr/horaires/arrets/54824/bus,"1","188","0",20M
"54825","54825",Couture / Le Royer,http://m.stm.info/fr/horaires/arrets/54825/bus,"1","188","0",20M
"54826","54826",Viau / Jean-Nicolet,http://m.stm.info/fr/horaires/arrets/54826/bus,"1","136,188","0",20M
"54827","54827",Viau / Jean-Nicolet,http://m.stm.info/fr/horaires/arrets/54827/bus,"1","136,188","0",20M
"54828","54828",Viau / D'Artagnan,http://m.stm.info/fr/horaires/arrets/54828/bus,"1","136,188","0",20M
"54829","54829",Viau / D'Artagnan,http://m.stm.info/fr/horaires/arrets/54829/bus,"1","136,188","0",20M
"54830","54830",Provencher / d'Assise,http://m.stm.info/fr/horaires/arrets/54830/bus,"1","192","0",20M
"54831","54831",Provencher / d'Assise,http://m.stm.info/fr/horaires/arrets/54831/bus,"1","192","0",20M
"54832","54832",Lacordaire / Lavoisier,http://m.stm.info/fr/horaires/arrets/54832/bus,"1","32,353,432","0",20M
"54833","54833",Lavoisier / Lacordaire,http://m.stm.info/fr/horaires/arrets/54833/bus,"2","188","0",20M
"54834","54834",Lacordaire / Lavoisier,http://m.stm.info/fr/horaires/arrets/54834/bus,"1","32,353,432","0",20M
"54835","54835",Lavoisier / Lacordaire,http://m.stm.info/fr/horaires/arrets/54835/bus,"1","188","0",20M
"54836","54836",Langelier / Couture,http://m.stm.info/fr/horaires/arrets/54836/bus,"1","33","0",20M
"54837","54837",Langelier / Couture,http://m.stm.info/fr/horaires/arrets/54837/bus,"1","33","0",20M
"54838","54838",Couture / Picasso,http://m.stm.info/fr/horaires/arrets/54838/bus,"1","188","0",20M
"54839","54839",Couture / Langelier,http://m.stm.info/fr/horaires/arrets/54839/bus,"2","188","0",20M
"54840","54840",Robert / Nevers,http://m.stm.info/fr/horaires/arrets/54840/bus,"1","192","0",20M
"54841","54841",Robert / Nevers,http://m.stm.info/fr/horaires/arrets/54841/bus,"1","192","0",20M
"54842","54842",Jarry / 25e Avenue,http://m.stm.info/fr/horaires/arrets/54842/bus,"1","193","0",20M
"54843","54843",25e Avenue / Jarry,http://m.stm.info/fr/horaires/arrets/54843/bus,"1","192","0",20M
"54844","54844",Jarry / 25e Avenue,http://m.stm.info/fr/horaires/arrets/54844/bus,"1","193","0",20M
"54845","54845",25e Avenue / Jarry,http://m.stm.info/fr/horaires/arrets/54845/bus,"1","192","0",20M
"54846","54846",Viau / Jean-Rivard,http://m.stm.info/fr/horaires/arrets/54846/bus,"1","136,188","0",20M
"54847","54847",Viau / Jean-Rivard,http://m.stm.info/fr/horaires/arrets/54847/bus,"1","136,188","0",20M
"54848","54848",Lavoisier / Belcourt,http://m.stm.info/fr/horaires/arrets/54848/bus,"1","188","0",20M
"54849","54849",Lavoisier / Belcourt,http://m.stm.info/fr/horaires/arrets/54849/bus,"2","188","0",20M
"54850","54850",Lacordaire / Lafourcade,http://m.stm.info/fr/horaires/arrets/54850/bus,"1","32,353,432","0",20M
"54851","54851",Lacordaire / Lafourcade,http://m.stm.info/fr/horaires/arrets/54851/bus,"1","32,353,432","0",20M
"54852","54852",Lavoisier / Honoré-Mercier,http://m.stm.info/fr/horaires/arrets/54852/bus,"1","188","0",20M
"54853","54853",Lavoisier / Honoré-Mercier,http://m.stm.info/fr/horaires/arrets/54853/bus,"1","188","0",20M
"54854","54854",Jarry / Nice,http://m.stm.info/fr/horaires/arrets/54854/bus,"1","193","0",20M
"54855","54855",Jarry / Nice,http://m.stm.info/fr/horaires/arrets/54855/bus,"1","193","0",20M
"54856","54856",Lacordaire / Paul-Sauvé,http://m.stm.info/fr/horaires/arrets/54856/bus,"1","32,353","0",20M
"54857","54857",Lacordaire / Jobin,http://m.stm.info/fr/horaires/arrets/54857/bus,"1","32,353","0",20M
"54858","54858",Lavoisier / Le Royer,http://m.stm.info/fr/horaires/arrets/54858/bus,"2","188","0",20M
"54859","54859",Lavoisier / Le Royer,http://m.stm.info/fr/horaires/arrets/54859/bus,"1","188","0",20M
"54860","54860",Lavoisier / Picasso,http://m.stm.info/fr/horaires/arrets/54860/bus,"1","188","0",20M
"54861","54861",Langelier / Lavoisier,http://m.stm.info/fr/horaires/arrets/54861/bus,"1","33","0",20M
"54862","54862",Langelier / Lavoisier,http://m.stm.info/fr/horaires/arrets/54862/bus,"1","33","0",20M
"54863","54863",Lavoisier / Picasso,http://m.stm.info/fr/horaires/arrets/54863/bus,"1","188","0",20M
"54864","54864",Viau / Jarry,http://m.stm.info/fr/horaires/arrets/54864/bus,"1","136,188","0",20M
"54865","54865",Jarry / Viau,http://m.stm.info/fr/horaires/arrets/54865/bus,"1","193","0",20M
"54866","54866",Viau / Jarry,http://m.stm.info/fr/horaires/arrets/54866/bus,"1","136,188","0",20M
"54867","54867",Jarry / Viau,http://m.stm.info/fr/horaires/arrets/54867/bus,"1","193","0",20M
